,0,1,2,3,4,5,6,7,8,9
L,"('L', 1.0)","('E', 0.81)","('F', 0.75)","('C', 0.74)","('Z', 0.74)","('X', 0.69)","('S', 0.69)","('K', 0.65)","('A', 0.65)","('D', 0.65)"
A,"('A', 1.0)","('G', 0.92)","('X', 0.87)","('D', 0.87)","('V', 0.87)","('S', 0.85)","('K', 0.85)","('C', 0.85)","('Q', 0.85)","('U', 0.84)"
G,"('G', 1.0)","('A', 0.92)","('V', 0.91)","('D', 0.91)","('O', 0.89)","('Q', 0.89)","('X', 0.87)","('K', 0.87)","('U', 0.86)","('R', 0.85)"
K,"('K', 1.0)","('R', 0.9)","('G', 0.87)","('B', 0.86)","('A', 0.85)","('P', 0.85)","('D', 0.84)","('Q', 0.83)","('O', 0.82)","('S', 0.82)"
X,"('X', 1.0)","('S', 0.93)","('D', 0.93)","('C', 0.92)","('A', 0.87)","('G', 0.87)","('V', 0.87)","('Y', 0.86)","('Z', 0.82)","('K', 0.81)"
A,"('A', 1.0)","('G', 0.92)","('X', 0.87)","('D', 0.87)","('V', 0.87)","('S', 0.85)","('K', 0.85)","('C', 0.85)","('Q', 0.85)","('U', 0.84)"
I,"('I', 1.0)","('E', 0.51)","('Z', 0.49)","('F', 0.43)","('L', 0.41)","('S', 0.39)","('B', 0.37)","('J', 0.37)","('T', 0.36)","('X', 0.33)"
Z,"('Z', 1.0)","('S', 0.84)","('E', 0.84)","('X', 0.82)","('C', 0.79)","('D', 0.78)","('J', 0.78)","('F', 0.78)","('T', 0.76)","('Y', 0.76)"
K,"('K', 1.0)","('R', 0.9)","('G', 0.87)","('B', 0.86)","('A', 0.85)","('P', 0.85)","('D', 0.84)","('Q', 0.83)","('O', 0.82)","('S', 0.82)"
J,"('J', 1.0)","('Z', 0.78)","('X', 0.72)","('S', 0.71)","('T', 0.71)","('Y', 0.7)","('D', 0.68)","('C', 0.67)","('A', 0.65)","('V', 0.64)"
N,"('N', 1.0)","('O', 0.94)","('Q', 0.92)","('W', 0.92)","('H', 0.9)","('U', 0.9)","('M', 0.86)","('G', 0.84)","('R', 0.81)","('V', 0.8)"
N,"('N', 1.0)","('O', 0.94)","('Q', 0.92)","('W', 0.92)","('H', 0.9)","('U', 0.9)","('M', 0.86)","('G', 0.84)","('R', 0.81)","('V', 0.8)"
Q,"('Q', 1.0)","('N', 0.92)","('O', 0.92)","('U', 0.89)","('G', 0.89)","('W', 0.85)","('A', 0.85)","('H', 0.84)","('R', 0.83)","('K', 0.83)"
Q,"('Q', 1.0)","('N', 0.92)","('O', 0.92)","('U', 0.89)","('G', 0.89)","('W', 0.85)","('A', 0.85)","('H', 0.84)","('R', 0.83)","('K', 0.83)"
D,"('D', 1.0)","('X', 0.93)","('S', 0.93)","('G', 0.91)","('V', 0.88)","('A', 0.87)","('C', 0.87)","('R', 0.85)","('Y', 0.84)","('K', 0.84)"
P,"('P', 1.0)","('R', 0.89)","('K', 0.85)","('D', 0.82)","('G', 0.8)","('B', 0.8)","('V', 0.79)","('O', 0.79)","('C', 0.78)","('S', 0.78)"
P,"('P', 1.0)","('R', 0.89)","('K', 0.85)","('D', 0.82)","('G', 0.8)","('B', 0.8)","('V', 0.79)","('O', 0.79)","('C', 0.78)","('S', 0.78)"
O,"('O', 1.0)","('N', 0.94)","('U', 0.93)","('Q', 0.92)","('G', 0.89)","('W', 0.86)","('V', 0.86)","('H', 0.85)","('A', 0.84)","('R', 0.83)"
U,"('U', 1.0)","('O', 0.93)","('N', 0.9)","('Q', 0.89)","('G', 0.86)","('W', 0.85)","('H', 0.84)","('A', 0.84)","('V', 0.83)","('K', 0.81)"
E,"('E', 1.0)","('F', 0.87)","('Z', 0.84)","('L', 0.81)","('S', 0.8)","('C', 0.78)","('X', 0.77)","('D', 0.75)","('B', 0.73)","('K', 0.73)"
C,"('C', 1.0)","('X', 0.92)","('D', 0.87)","('S', 0.87)","('Y', 0.86)","('V', 0.86)","('A', 0.85)","('G', 0.84)","('K', 0.81)","('Z', 0.79)"
J,"('J', 1.0)","('Z', 0.78)","('X', 0.72)","('S', 0.71)","('T', 0.71)","('Y', 0.7)","('D', 0.68)","('C', 0.67)","('A', 0.65)","('V', 0.64)"
M,"('M', 1.0)","('W', 0.93)","('H', 0.91)","('N', 0.86)","('O', 0.8)","('Q', 0.79)","('U', 0.79)","('G', 0.7)","('R', 0.7)","('V', 0.68)"
G,"('G', 1.0)","('A', 0.92)","('V', 0.91)","('D', 0.91)","('O', 0.89)","('Q', 0.89)","('X', 0.87)","('K', 0.87)","('U', 0.86)","('R', 0.85)"
A,"('A', 1.0)","('G', 0.92)","('X', 0.87)","('D', 0.87)","('V', 0.87)","('S', 0.85)","('K', 0.85)","('C', 0.85)","('Q', 0.85)","('U', 0.84)"
R,"('R', 1.0)","('K', 0.9)","('P', 0.89)","('B', 0.89)","('G', 0.85)","('D', 0.85)","('Q', 0.83)","('O', 0.83)","('S', 0.81)","('N', 0.81)"
M,"('M', 1.0)","('W', 0.93)","('H', 0.91)","('N', 0.86)","('O', 0.8)","('Q', 0.79)","('U', 0.79)","('G', 0.7)","('R', 0.7)","('V', 0.68)"
E,"('E', 1.0)","('F', 0.87)","('Z', 0.84)","('L', 0.81)","('S', 0.8)","('C', 0.78)","('X', 0.77)","('D', 0.75)","('B', 0.73)","('K', 0.73)"
Q,"('Q', 1.0)","('N', 0.92)","('O', 0.92)","('U', 0.89)","('G', 0.89)","('W', 0.85)","('A', 0.85)","('H', 0.84)","('R', 0.83)","('K', 0.83)"
J,"('J', 1.0)","('Z', 0.78)","('X', 0.72)","('S', 0.71)","('T', 0.71)","('Y', 0.7)","('D', 0.68)","('C', 0.67)","('A', 0.65)","('V', 0.64)"
Y,"('Y', 1.0)","('X', 0.86)","('C', 0.86)","('V', 0.85)","('D', 0.84)","('S', 0.81)","('T', 0.8)","('G', 0.79)","('A', 0.77)","('P', 0.76)"
T,"('T', 1.0)","('Y', 0.8)","('Z', 0.76)","('F', 0.74)","('X', 0.72)","('C', 0.72)","('J', 0.71)","('S', 0.7)","('D', 0.69)","('E', 0.69)"
